Visitor,Visitor pts,Home,Home pts,Winner
Philadelphia 76ers,127,Washington Wizards,101,0
Miami Heat,101,Chicago Bulls,90,0
Orlando Magic,77,San Antonio Spurs,104,1
Houston Rockets,99,Utah Jazz,114,1
Indiana Pacers,100,Los Angeles Lakers,105,1
New York Knicks,119,Oklahoma City Thunder,97,0
Detroit Pistons,95,Brooklyn Nets,100,1
Toronto Raptors,104,Charlotte Hornets,114,1
Milwaukee Bucks,125,Washington Wizards,119,0
Sacramento Kings,106,Atlanta Hawks,121,1
Portland Trail Blazers,125,Minnesota Timberwolves,121,0
Dallas Mavericks,116,Denver Nuggets,103,0
Indiana Pacers,122,Phoenix Suns,111,0
Memphis Grizzlies,122,Oklahoma City Thunder,128,1
Utah Jazz,119,Golden State Warriors,131,1
San Antonio Spurs,99,Philadelphia 76ers,134,1
Miami Heat,102,Orlando Magic,97,0
Cleveland Cavaliers,82,Atlanta Hawks,100,1
Boston Celtics,134,Houston Rockets,107,0
Portland Trail Blazers,112,Minnesota Timberwolves,114,1
Toronto Raptors,95,Chicago Bulls,118,1
Los Angeles Clippers,115,New Orleans Pelicans,135,1
Sacramento Kings,116,Charlotte Hornets,122,1
Milwaukee Bucks,133,Washington Wizards,122,0
New York Knicks,112,Brooklyn Nets,117,1
San Antonio Spurs,109,Detroit Pistons,99,0
Los Angeles Clippers,109,Dallas Mavericks,99,0
Indiana Pacers,106,Denver Nuggets,121,1
Memphis Grizzlies,99,Phoenix Suns,122,1
Los Angeles Lakers,128,Golden State Warriors,97,0
Utah Jazz,117,Boston Celtics,109,0
Oklahoma City Thunder,102,Chicago Bulls,123,1
Atlanta Hawks,119,Houston Rockets,107,0
Cleveland Cavaliers,98,Miami Heat,113,1
New York Knicks,96,Philadelphia 76ers,99,1
New Orleans Pelicans,124,Portland Trail Blazers,125,1
Minnesota Timberwolves,121,Los Angeles Lakers,137,1
Toronto Raptors,112,Detroit Pistons,116,1
Brooklyn Nets,124,Indiana Pacers,115,0
Milwaukee Bucks,109,Philadelphia 76ers,105,0
Sacramento Kings,121,Washington Wizards,119,0
San Antonio Spurs,106,Chicago Bulls,99,0
Boston Celtics,110,Cleveland Cavaliers,117,1
Golden State Warriors,108,Houston Rockets,94,0
Charlotte Hornets,104,Denver Nuggets,129,1
Miami Heat,85,Memphis Grizzlies,89,1
Los Angeles Clippers,89,Dallas Mavericks,105,1
Utah Jazz,122,Washington Wizards,131,1
Oklahoma City Thunder,93,Atlanta Hawks,116,1
Orlando Magic,93,New York Knicks,94,1
Minnesota Timberwolves,123,Phoenix Suns,119,0
New Orleans Pelicans,93,Portland Trail Blazers,101,1
Charlotte Hornets,105,Los Angeles Lakers,116,1
Sacramento Kings,107,Boston Celtics,96,0
San Antonio Spurs,116,Cleveland Cavaliers,110,0
Detroit Pistons,113,Houston Rockets,100,0
Golden State Warriors,116,Memphis Grizzlies,103,0
Indiana Pacers,137,Miami Heat,110,0
Brooklyn Nets,113,Orlando Magic,121,1
Utah Jazz,115,Toronto Raptors,112,0
Chicago Bulls,127,Denver Nuggets,131,1
Minnesota Timberwolves,101,Phoenix Suns,113,1
Dallas Mavericks,119,Portland Trail Blazers,125,1
Atlanta Hawks,99,Los Angeles Lakers,94,0
Golden State Warriors,103,Memphis Grizzlies,111,1
Sacramento Kings,105,Philadelphia 76ers,129,1
San Antonio Spurs,113,Milwaukee Bucks,120,1
Charlotte Hornets,98,Los Angeles Clippers,125,1
Indiana Pacers,109,Miami Heat,106,0
Oklahoma City Thunder,114,Houston Rockets,112,0
New Orleans Pelicans,113,Denver Nuggets,108,0
Orlando Magic,96,Boston Celtics,112,1
Washington Wizards,106,Brooklyn Nets,113,1
Toronto Raptors,105,Cleveland Cavaliers,116,1
Chicago Bulls,100,Detroit Pistons,86,0
Philadelphia 76ers,101,New York Knicks,100,0
Los Angeles Lakers,94,Phoenix Suns,111,1
Dallas Mavericks,132,Portland Trail Blazers,92,0
Sacramento Kings,119,Cleveland Cavaliers,105,0
Oklahoma City Thunder,112,Minnesota Timberwolves,103,0
Charlotte Hornets,100,San Antonio Spurs,97,0
Utah Jazz,120,Chicago Bulls,95,0
Toronto Raptors,99,Houston Rockets,117,1
Boston Celtics,126,Memphis Grizzlies,132,1
Indiana Pacers,113,Milwaukee Bucks,140,1
Atlanta Hawks,110,Los Angeles Clippers,119,1
Denver Nuggets,110,Orlando Magic,99,0
Los Angeles Lakers,111,New Orleans Pelicans,128,1
Washington Wizards,113,New York Knicks,131,1
Phoenix Suns,110,Miami Heat,100,0
Philadelphia 76ers,108,Golden State Warriors,98,0
Brooklyn Nets,116,Portland Trail Blazers,112,0
Detroit Pistons,111,Indiana Pacers,116,1
Boston Celtics,119,Milwaukee Bucks,121,1
Denver Nuggets,111,Toronto Raptors,135,1
Cleveland Cavaliers,103,Chicago Bulls,94,0
Charlotte Hornets,122,Houston Rockets,97,0
Dallas Mavericks,128,Minnesota Timberwolves,108,0
Memphis Grizzlies,116,Oklahoma City Thunder,107,0
Phoenix Suns,111,Orlando Magic,112,1
Los Angeles Clippers,134,San Antonio Spurs,101,0
Atlanta Hawks,108,Sacramento Kings,110,1
Brooklyn Nets,88,Utah Jazz,118,1
Portland Trail Blazers,125,Miami Heat,122,0
Washington Wizards,102,New York Knicks,106,1
Los Angeles Clippers,98,San Antonio Spurs,85,0
Philadelphia 76ers,109,Los Angeles Lakers,101,0
Golden State Warriors,119,Sacramento Kings,141,1
Brooklyn Nets,113,Detroit Pistons,111,0
Boston Celtics,122,Milwaukee Bucks,114,0
Phoenix Suns,104,Toronto Raptors,100,0
Miami Heat,105,Charlotte Hornets,110,1
Houston Rockets,101,Minnesota Timberwolves,107,1
Denver Nuggets,113,New Orleans Pelicans,108,0
Portland Trail Blazers,112,Orlando Magic,105,0
Indiana Pacers,109,Dallas Mavericks,94,0
Memphis Grizzlies,114,Utah Jazz,117,1
Atlanta Hawks,124,Golden State Warriors,108,0
Cleveland Cavaliers,86,Los Angeles Lakers,100,1
New York Knicks,102,Milwaukee Bucks,96,0
Houston Rockets,129,Minnesota Timberwolves,107,0
Detroit Pistons,92,Washington Wizards,106,1
Chicago Bulls,104,San Antonio Spurs,120,1
Dallas Mavericks,103,New Orleans Pelicans,112,1
Boston Celtics,111,Oklahoma City Thunder,94,0
Memphis Grizzlies,110,Utah Jazz,126,1
Philadelphia 76ers,112,Los Angeles Clippers,122,1
Cleveland Cavaliers,98,Sacramento Kings,100,1
Phoenix Suns,101,Charlotte Hornets,97,0
Portland Trail Blazers,122,Toronto Raptors,117,0
Atlanta Hawks,102,Denver Nuggets,126,1
Orlando Magic,93,Los Angeles Lakers,96,1
Indiana Pacers,124,Washington Wizards,132,1
New Orleans Pelicans,115,Boston Celtics,109,0
Minnesota Timberwolves,107,Brooklyn Nets,112,1
Miami Heat,98,New York Knicks,88,0
Toronto Raptors,104,Detroit Pistons,118,1
Memphis Grizzlies,120,Houston Rockets,110,0
Dallas Mavericks,127,Oklahoma City Thunder,106,0
Sacramento Kings,132,San Antonio Spurs,115,0
Cleveland Cavaliers,75,Utah Jazz,114,1
Chicago Bulls,102,Golden State Warriors,116,1
Milwaukee Bucks,105,Los Angeles Clippers,129,1
Charlotte Hornets,114,Washington Wizards,104,0
Philadelphia 76ers,95,Denver Nuggets,104,1
Orlando Magic,103,Los Angeles Clippers,96,0
Atlanta Hawks,110,Phoenix Suns,117,1
Portland Trail Blazers,124,Detroit Pistons,101,0
Miami Heat,92,Indiana Pacers,87,0
Dallas Mavericks,113,Boston Celtics,108,0
Houston Rockets,108,Brooklyn Nets,120,1
Utah Jazz,111,Memphis Grizzlies,107,0
New York Knicks,101,Minnesota Timberwolves,102,1
Toronto Raptors,103,Oklahoma City Thunder,113,1
Sacramento Kings,106,San Antonio Spurs,120,1
Milwaukee Bucks,112,Los Angeles Lakers,97,0
Chicago Bulls,116,Phoenix Suns,121,1
Philadelphia 76ers,114,Cleveland Cavaliers,94,0
Washington Wizards,91,Detroit Pistons,120,1
Charlotte Hornets,89,Brooklyn Nets,111,1
Golden State Warriors,109,Miami Heat,116,1
Orlando Magic,115,New Orleans Pelicans,110,0
Atlanta Hawks,134,San Antonio Spurs,129,0
Denver Nuggets,101,Los Angeles Clippers,94,0
Golden State Warriors,77,Toronto Raptors,130,1
Houston Rockets,102,Boston Celtics,118,1
Dallas Mavericks,99,New York Knicks,86,0
Charlotte Hornets,114,Indiana Pacers,97,0
Minnesota Timberwolves,108,Memphis Grizzlies,120,1
Atlanta Hawks,126,New Orleans Pelicans,103,0
Chicago Bulls,106,Utah Jazz,113,1
Oklahoma City Thunder,103,Phoenix Suns,140,1
Milwaukee Bucks,127,Portland Trail Blazers,109,0
Los Angeles Lakers,115,Sacramento Kings,94,0
Dallas Mavericks,109,Washington Wizards,87,0
New York Knicks,125,Detroit Pistons,81,0
Cleveland Cavaliers,101,Miami Heat,115,1
Minnesota Timberwolves,113,Philadelphia 76ers,122,1
Indiana Pacers,139,San Antonio Spurs,133,0
Orlando Magic,91,Utah Jazz,137,1
Oklahoma City Thunder,85,Portland Trail Blazers,133,1
Milwaukee Bucks,129,Sacramento Kings,128,0
Brooklyn Nets,107,Chicago Bulls,115,1
Los Angeles Lakers,86,Los Angeles Clippers,104,1
Charlotte Hornets,86,Boston Celtics,116,1
Memphis Grizzlies,116,Philadelphia 76ers,100,0
Golden State Warriors,111,Atlanta Hawks,117,1
New Orleans Pelicans,122,Houston Rockets,115,0
Orlando Magic,109,Denver Nuggets,119,1
New York Knicks,112,Brooklyn Nets,114,1
Utah Jazz,103,Dallas Mavericks,111,1
Sacramento Kings,106,Minnesota Timberwolves,116,1
Detroit Pistons,132,Oklahoma City Thunder,108,0
Cleveland Cavaliers,125,San Antonio Spurs,101,0
Washington Wizards,101,Toronto Raptors,103,1
Phoenix Suns,133,Houston Rockets,130,0
Chicago Bulls,113,Indiana Pacers,97,0
New Orleans Pelicans,107,Atlanta Hawks,123,1
Philadelphia 76ers,106,Boston Celtics,96,0
Los Angeles Lakers,110,Toronto Raptors,101,0
Memphis Grizzlies,124,Miami Heat,112,0
Detroit Pistons,119,Denver Nuggets,134,1
Milwaukee Bucks,121,Golden State Warriors,122,1
Portland Trail Blazers,116,Los Angeles Clippers,133,1
Minnesota Timberwolves,137,Indiana Pacers,141,1
Washington Wizards,131,Orlando Magic,116,0
New York Knicks,99,Boston Celtics,101,1
New Orleans Pelicans,111,Brooklyn Nets,139,1
Memphis Grizzlies,131,Atlanta Hawks,113,0
Dallas Mavericks,93,Houston Rockets,102,1
Charlotte Hornets,113,Oklahoma City Thunder,102,0
San Antonio Spurs,96,Denver Nuggets,106,1
Utah Jazz,113,Phoenix Suns,117,1
Los Angeles Lakers,104,Miami Heat,110,1
Chicago Bulls,122,Toronto Raptors,113,0
Cleveland Cavaliers,129,Oklahoma City Thunder,102,0
Milwaukee Bucks,101,Dallas Mavericks,116,1
Phoenix Suns,103,Los Angeles Clippers,113,1
Detroit Pistons,113,Sacramento Kings,101,0
Portland Trail Blazers,103,Utah Jazz,122,1
Indiana Pacers,111,Orlando Magic,106,0
Minnesota Timberwolves,136,Boston Celtics,145,1
Memphis Grizzlies,129,New York Knicks,133,1
Chicago Bulls,108,Atlanta Hawks,120,1
Philadelphia 76ers,94,New Orleans Pelicans,101,1
San Antonio Spurs,119,Denver Nuggets,121,1
Charlotte Hornets,127,Milwaukee Bucks,119,0
Washington Wizards,110,Golden State Warriors,107,0
Houston Rockets,109,Los Angeles Clippers,126,1
Toronto Raptors,135,Cleveland Cavaliers,115,0
Los Angeles Lakers,126,Brooklyn Nets,101,0
Philadelphia 76ers,117,Oklahoma City Thunder,93,0
Sacramento Kings,112,Utah Jazz,128,1
Houston Rockets,109,Golden State Warriors,125,1
Washington Wizards,106,Phoenix Suns,134,1
Detroit Pistons,103,Portland Trail Blazers,118,1
Atlanta Hawks,105,Charlotte Hornets,101,0
Boston Celtics,105,Denver Nuggets,87,0
New Orleans Pelicans,116,Cleveland Cavaliers,109,0
Milwaukee Bucks,124,Orlando Magic,87,0
San Antonio Spurs,119,Dallas Mavericks,117,0
Indiana Pacers,132,Memphis Grizzlies,125,0
Chicago Bulls,117,Minnesota Timberwolves,121,1
Toronto Raptors,96,New York Knicks,102,1
Detroit Pistons,124,Los Angeles Clippers,131,1
Miami Heat,107,Portland Trail Blazers,98,0
Philadelphia 76ers,113,Dallas Mavericks,95,0
Los Angeles Lakers,96,New York Knicks,111,1
San Antonio Spurs,120,Orlando Magic,97,0
Chicago Bulls,90,Memphis Grizzlies,101,1
Sacramento Kings,110,New Orleans Pelicans,117,1
Washington Wizards,125,Utah Jazz,121,0
Denver Nuggets,107,Golden State Warriors,116,1
Houston Rockets,120,Phoenix Suns,126,1
Brooklyn Nets,127,Minnesota Timberwolves,97,0
Los Angeles Clippers,126,Indiana Pacers,115,0
Atlanta Hawks,108,Toronto Raptors,103,0
Los Angeles Lakers,101,Charlotte Hornets,93,0
Oklahoma City Thunder,96,Utah Jazz,106,1
Miami Heat,86,Phoenix Suns,106,1
Boston Celtics,116,Portland Trail Blazers,115,0
Milwaukee Bucks,130,Minnesota Timberwolves,105,0
Cleveland Cavaliers,103,Charlotte Hornets,90,0
Brooklyn Nets,117,Philadelphia 76ers,123,1
San Antonio Spurs,112,Toronto Raptors,117,1
Orlando Magic,115,Chicago Bulls,106,0
Los Angeles Clippers,100,Detroit Pistons,98,0
New York Knicks,116,New Orleans Pelicans,106,0
Indiana Pacers,132,Houston Rockets,124,0
Golden State Warriors,147,Oklahoma City Thunder,109,0
Dallas Mavericks,114,Memphis Grizzlies,113,0
Miami Heat,106,Denver Nuggets,123,1
Washington Wizards,123,Sacramento Kings,111,0
Milwaukee Bucks,120,Atlanta Hawks,109,0
Golden State Warriors,119,Cleveland Cavaliers,101,0
Boston Celtics,121,Los Angeles Lakers,113,0
Sacramento Kings,114,Phoenix Suns,122,1
Indiana Pacers,111,Utah Jazz,119,1
Oklahoma City Thunder,104,Detroit Pistons,110,1
Los Angeles Clippers,103,Philadelphia 76ers,106,1
New Orleans Pelicans,115,Washington Wizards,117,1
Charlotte Hornets,115,Brooklyn Nets,130,1
Orlando Magic,102,Toronto Raptors,113,1
Memphis Grizzlies,126,Chicago Bulls,115,0
Denver Nuggets,128,Houston Rockets,99,0
Miami Heat,111,Minnesota Timberwolves,119,1
Portland Trail Blazers,107,San Antonio Spurs,106,0
New York Knicks,117,Dallas Mavericks,109,0
Utah Jazz,115,Los Angeles Lakers,127,1
Cleveland Cavaliers,96,Chicago Bulls,106,1
Detroit Pistons,100,Washington Wizards,121,1
Golden State Warriors,114,Boston Celtics,119,1
Memphis Grizzlies,128,Milwaukee Bucks,115,0
San Antonio Spurs,111,Phoenix Suns,85,0
Indiana Pacers,117,Atlanta Hawks,129,1
New Orleans Pelicans,112,New York Knicks,122,1
Brooklyn Nets,107,Miami Heat,109,1
Portland Trail Blazers,101,Charlotte Hornets,109,1
Houston Rockets,114,Orlando Magic,110,0
Oklahoma City Thunder,106,Toronto Raptors,112,1
Sacramento Kings,121,Dallas Mavericks,107,0
Minnesota Timberwolves,105,Los Angeles Clippers,124,1
Cleveland Cavaliers,105,Detroit Pistons,109,1
Chicago Bulls,102,Boston Celtics,96,0
Golden State Warriors,107,Philadelphia 76ers,96,0
San Antonio Spurs,109,Indiana Pacers,94,0
Houston Rockets,91,Miami Heat,113,1
Phoenix Suns,128,Milwaukee Bucks,127,0
Oklahoma City Thunder,107,Washington Wizards,119,1
Memphis Grizzlies,137,Denver Nuggets,139,1
Utah Jazz,111,Los Angeles Lakers,97,0
Orlando Magic,96,Atlanta Hawks,112,1
Brooklyn Nets,134,New Orleans Pelicans,129,0
Charlotte Hornets,97,New York Knicks,109,1
Los Angeles Clippers,113,Portland Trail Blazers,112,0
Minnesota Timberwolves,134,Sacramento Kings,120,0
Chicago Bulls,105,Cleveland Cavaliers,121,1
Oklahoma City Thunder,116,Indiana Pacers,122,1
Phoenix Suns,116,Philadelphia 76ers,113,0
Brooklyn Nets,103,Toronto Raptors,114,1
Golden State Warriors,114,Washington Wizards,118,1
Utah Jazz,112,Houston Rockets,89,0
Atlanta Hawks,127,New York Knicks,137,1
Detroit Pistons,117,Dallas Mavericks,127,1
Miami Heat,107,San Antonio Spurs,87,0
Memphis Grizzlies,105,Los Angeles Clippers,117,1
Denver Nuggets,106,Portland Trail Blazers,105,0
Minnesota Timberwolves,125,Sacramento Kings,128,1
Phoenix Suns,86,Boston Celtics,99,1
Philadelphia 76ers,117,Milwaukee Bucks,124,1
New Orleans Pelicans,135,Orlando Magic,100,0
Detroit Pistons,91,San Antonio Spurs,106,1
Charlotte Hornets,91,Chicago Bulls,108,1
Los Angeles Lakers,110,Dallas Mavericks,115,1
Miami Heat,103,Atlanta Hawks,118,1
Boston Celtics,104,Brooklyn Nets,109,1
Cleveland Cavaliers,102,Charlotte Hornets,108,1
Los Angeles Clippers,109,Houston Rockets,104,0
Washington Wizards,129,Oklahoma City Thunder,109,0
Denver Nuggets,97,Golden State Warriors,118,1
Memphis Grizzlies,130,Portland Trail Blazers,128,0
Toronto Raptors,103,New York Knicks,120,1
Philadelphia 76ers,94,Milwaukee Bucks,132,1
Detroit Pistons,109,Indiana Pacers,115,1
Chicago Bulls,101,Miami Heat,106,1
San Antonio Spurs,110,New Orleans Pelicans,108,0
Los Angeles Lakers,93,Dallas Mavericks,108,1
Minnesota Timberwolves,101,Utah Jazz,96,0
Houston Rockets,116,Denver Nuggets,129,1
Boston Celtics,104,Charlotte Hornets,125,1
Phoenix Suns,119,Brooklyn Nets,128,1
Memphis Grizzlies,120,Portland Trail Blazers,113,0
Cleveland Cavaliers,110,Washington Wizards,119,1
Milwaukee Bucks,104,Atlanta Hawks,111,1
Indiana Pacers,131,Orlando Magic,112,0
Sacramento Kings,113,Golden State Warriors,117,1
Atlanta Hawks,86,Detroit Pistons,100,1
Los Angeles Lakers,114,Orlando Magic,103,0
Oklahoma City Thunder,90,Philadelphia 76ers,121,1
San Antonio Spurs,146,Washington Wizards,143,0
Phoenix Suns,118,New York Knicks,110,0
Cleveland Cavaliers,96,Toronto Raptors,112,1
Chicago Bulls,110,Miami Heat,102,0
Utah Jazz,104,Minnesota Timberwolves,105,1
Los Angeles Clippers,103,New Orleans Pelicans,120,1
Memphis Grizzlies,96,Denver Nuggets,120,1
Dallas Mavericks,106,Sacramento Kings,113,1
Oklahoma City Thunder,119,Boston Celtics,115,0
Milwaukee Bucks,114,Charlotte Hornets,104,0
Portland Trail Blazers,133,Indiana Pacers,112,0
Brooklyn Nets,116,Toronto Raptors,103,0
Minnesota Timberwolves,114,Houston Rockets,107,0
Dallas Mavericks,133,Golden State Warriors,103,0
Orlando Magic,109,Cleveland Cavaliers,104,0
Atlanta Hawks,83,Philadelphia 76ers,127,1
Charlotte Hornets,111,Boston Celtics,120,1
Chicago Bulls,94,New York Knicks,113,1
Los Angeles Lakers,107,Washington Wizards,116,1
San Antonio Spurs,111,Miami Heat,116,1
New Orleans Pelicans,112,Denver Nuggets,114,1
Portland Trail Blazers,130,Memphis Grizzlies,109,0
Los Angeles Clippers,101,Phoenix Suns,109,1
Utah Jazz,154,Sacramento Kings,105,0
Dallas Mavericks,115,Detroit Pistons,105,0
Brooklyn Nets,130,Indiana Pacers,113,0
Milwaukee Bucks,136,Houston Rockets,143,1
Golden State Warriors,114,Minnesota Timberwolves,126,1
Toronto Raptors,111,Denver Nuggets,121,1
New Orleans Pelicans,109,Oklahoma City Thunder,95,0
Atlanta Hawks,104,Philadelphia 76ers,126,1
San Antonio Spurs,140,Boston Celtics,143,1
Washington Wizards,122,Cleveland Cavaliers,93,0
Portland Trail Blazers,128,Brooklyn Nets,109,0
Orlando Magic,75,Memphis Grizzlies,92,1
Milwaukee Bucks,108,Chicago Bulls,98,0
Utah Jazz,100,Phoenix Suns,121,1
Sacramento Kings,110,Los Angeles Lakers,106,0
Detroit Pistons,94,Charlotte Hornets,107,1
Golden State Warriors,113,Houston Rockets,87,0
Chicago Bulls,97,Atlanta Hawks,108,1
Miami Heat,124,Cleveland Cavaliers,107,0
New Orleans Pelicans,140,Minnesota Timberwolves,136,0
Indiana Pacers,152,Oklahoma City Thunder,95,0
Memphis Grizzlies,111,Orlando Magic,112,1
Washington Wizards,124,Dallas Mavericks,125,1
Denver Nuggets,110,Los Angeles Clippers,104,0
Toronto Raptors,102,Utah Jazz,106,1
Brooklyn Nets,114,Milwaukee Bucks,117,1
Portland Trail Blazers,129,Boston Celtics,119,0
Miami Heat,121,Charlotte Hornets,111,0
Sacramento Kings,111,Dallas Mavericks,99,0
New York Knicks,122,Houston Rockets,97,0
Phoenix Suns,123,Oklahoma City Thunder,120,0
Philadelphia 76ers,113,San Antonio Spurs,111,0
Toronto Raptors,121,Los Angeles Lakers,114,0
Orlando Magic,119,Detroit Pistons,112,0
Indiana Pacers,141,Washington Wizards,154,1
Golden State Warriors,123,New Orleans Pelicans,108,0
Portland Trail Blazers,114,Atlanta Hawks,123,1
Philadelphia 76ers,106,Chicago Bulls,94,0
New York Knicks,118,Memphis Grizzlies,104,0
Denver Nuggets,89,Los Angeles Lakers,93,1
San Antonio Spurs,99,Utah Jazz,110,1
Phoenix Suns,134,Cleveland Cavaliers,118,0
Charlotte Hornets,102,Detroit Pistons,99,0
Brooklyn Nets,118,Milwaukee Bucks,124,1
Dallas Mavericks,127,Miami Heat,113,0
Golden State Warriors,103,New Orleans Pelicans,108,1
Sacramento Kings,103,Oklahoma City Thunder,99,0
Toronto Raptors,100,Los Angeles Clippers,105,1
Boston Celtics,132,Orlando Magic,96,0
Portland Trail Blazers,141,Cleveland Cavaliers,105,0
Phoenix Suns,103,Atlanta Hawks,135,1
Philadelphia 76ers,135,Houston Rockets,115,0
Sacramento Kings,104,Indiana Pacers,93,0
Washington Wizards,134,Milwaukee Bucks,135,1
Memphis Grizzlies,139,Minnesota Timberwolves,135,0
New York Knicks,97,Denver Nuggets,113,1
San Antonio Spurs,94,Utah Jazz,126,1
Chicago Bulls,120,Charlotte Hornets,99,0
Brooklyn Nets,109,Dallas Mavericks,113,1
Washington Wizards,131,Toronto Raptors,129,0
Memphis Grizzlies,97,Detroit Pistons,111,1
Atlanta Hawks,126,Indiana Pacers,133,1
Oklahoma City Thunder,97,Golden State Warriors,118,1
Los Angeles Lakers,94,Los Angeles Clippers,118,1
New Orleans Pelicans,107,Philadelphia 76ers,109,1
Boston Celtics,99,Chicago Bulls,121,1
Orlando Magic,112,Charlotte Hornets,122,1
Minnesota Timberwolves,112,Miami Heat,121,1
Houston Rockets,133,Milwaukee Bucks,141,1
Cleveland Cavaliers,90,Dallas Mavericks,110,1
Denver Nuggets,120,Utah Jazz,127,1
New York Knicks,105,Phoenix Suns,128,1
Los Angeles Lakers,101,Portland Trail Blazers,106,1
San Antonio Spurs,113,Sacramento Kings,104,0
Washington Wizards,133,Indiana Pacers,132,0
Detroit Pistons,104,Philadelphia 76ers,118,1
Memphis Grizzlies,109,Toronto Raptors,99,0
Brooklyn Nets,125,Denver Nuggets,119,0
Oklahoma City Thunder,97,Golden State Warriors,136,1
San Antonio Spurs,102,Portland Trail Blazers,124,1
Houston Rockets,116,Utah Jazz,124,1
Miami Heat,130,Boston Celtics,124,0
New York Knicks,106,Los Angeles Clippers,100,0
New Orleans Pelicans,112,Charlotte Hornets,110,0
Dallas Mavericks,124,Cleveland Cavaliers,97,0
Minnesota Timberwolves,128,Orlando Magic,96,0
Chicago Bulls,108,Detroit Pistons,96,0
Phoenix Suns,110,Los Angeles Lakers,123,1
Oklahoma City Thunder,98,Sacramento Kings,126,1
Washington Wizards,124,Atlanta Hawks,125,1
Indiana Pacers,111,Cleveland Cavaliers,102,0
New Orleans Pelicans,110,Memphis Grizzlies,115,1
Milwaukee Bucks,125,San Antonio Spurs,146,1
Utah Jazz,116,Golden State Warriors,119,1
Houston Rockets,129,Portland Trail Blazers,140,1
Denver Nuggets,117,Charlotte Hornets,112,0
Minnesota Timberwolves,119,Detroit Pistons,100,0
Miami Heat,129,Boston Celtics,121,0
Los Angeles Clippers,115,Toronto Raptors,96,0
Brooklyn Nets,115,Chicago Bulls,107,0
Philadelphia 76ers,94,Indiana Pacers,103,1
Dallas Mavericks,104,Memphis Grizzlies,133,1
Orlando Magic,102,Milwaukee Bucks,114,1
Phoenix Suns,116,Golden State Warriors,122,1
New York Knicks,99,Los Angeles Lakers,101,1
Oklahoma City Thunder,106,Sacramento Kings,122,1
Washington Wizards,116,Atlanta Hawks,120,1
San Antonio Spurs,116,Brooklyn Nets,128,1
Boston Celtics,94,Cleveland Cavaliers,102,1
New Orleans Pelicans,107,Dallas Mavericks,125,1
Portland Trail Blazers,105,Utah Jazz,98,0
Houston Rockets,122,Los Angeles Lakers,124,1
Los Angeles Clippers,113,Charlotte Hornets,90,0
Milwaukee Bucks,142,Indiana Pacers,133,0
Orlando Magic,93,Atlanta Hawks,116,1
Philadelphia 76ers,94,Miami Heat,106,1
San Antonio Spurs,98,New York Knicks,102,1
Toronto Raptors,102,Chicago Bulls,114,1
Sacramento Kings,110,Memphis Grizzlies,116,1
Denver Nuggets,114,Minnesota Timberwolves,103,0
Portland Trail Blazers,117,Phoenix Suns,118,1
Cleveland Cavaliers,105,Washington Wizards,120,1
Denver Nuggets,104,Detroit Pistons,91,0
Utah Jazz,109,Oklahoma City Thunder,93,0
Orlando Magic,97,Philadelphia 76ers,122,1
Toronto Raptors,110,Dallas Mavericks,114,1
Los Angeles Clippers,115,Houston Rockets,122,1
Sacramento Kings,106,Memphis Grizzlies,107,1
New Orleans Pelicans,122,Golden State Warriors,125,1
Chicago Bulls,91,Brooklyn Nets,105,1
Los Angeles Lakers,122,Indiana Pacers,115,0
Charlotte Hornets,109,New York Knicks,118,1
Boston Celtics,124,Minnesota Timberwolves,108,0
Phoenix Suns,140,San Antonio Spurs,103,0
Miami Heat,108,Milwaukee Bucks,122,1
Boston Celtics,92,New York Knicks,96,1
Indiana Pacers,125,Toronto Raptors,113,0
Charlotte Hornets,110,Washington Wizards,115,1
Phoenix Suns,123,San Antonio Spurs,121,0
Memphis Grizzlies,101,Golden State Warriors,113,1
Houston Rockets,95,Atlanta Hawks,124,1
Cleveland Cavaliers,109,Brooklyn Nets,123,1
Orlando Magic,117,Philadelphia 76ers,128,1
Miami Heat,120,Detroit Pistons,107,0
Milwaukee Bucks,112,Chicago Bulls,118,1
Dallas Mavericks,121,Minnesota Timberwolves,136,1
Los Angeles Lakers,110,New Orleans Pelicans,98,0
Los Angeles Clippers,112,Oklahoma City Thunder,117,1
Denver Nuggets,116,Portland Trail Blazers,132,1
Utah Jazz,121,Sacramento Kings,99,0
Charlotte Hornets,117,Indiana Pacers,144,1
Washington Wizards,100,Boston Celtics,118,1
San Antonio Spurs,96,Memphis Grizzlies,100,1
Golden State Warriors,100,Los Angeles Lakers,103,1
Indiana Pacers,115,Washington Wizards,142,1
Memphis Grizzlies,117,Golden State Warriors,112,0
Miami Heat,107,Milwaukee Bucks,109,1
Dallas Mavericks,113,Los Angeles Clippers,103,0
Boston Celtics,93,Brooklyn Nets,104,1
Portland Trail Blazers,123,Denver Nuggets,109,0
Washington Wizards,118,Philadelphia 76ers,125,1
Los Angeles Lakers,90,Phoenix Suns,99,1
Atlanta Hawks,107,New York Knicks,105,0
Memphis Grizzlies,112,Utah Jazz,109,0
Miami Heat,98,Milwaukee Bucks,132,1
Portland Trail Blazers,109,Denver Nuggets,128,1
Boston Celtics,108,Brooklyn Nets,130,1
Los Angeles Lakers,109,Phoenix Suns,102,0
Dallas Mavericks,127,Los Angeles Clippers,121,0
Washington Wizards,95,Philadelphia 76ers,120,1
Atlanta Hawks,92,New York Knicks,101,1
